Frequency (Hz)	Level (dB)
10.766602	-79.508636
21.533203	-73.257050
32.299805	-70.637405
43.066406	-76.921745
53.833008	-70.227043
64.599609	-62.842857
75.366211	-61.614647
86.132813	-62.817947
96.899414	-68.224190
107.666016	-70.545105
118.432617	-68.695877
129.199219	-62.615349
139.965820	-60.903648
150.732422	-73.864174
161.499023	-70.157509
172.265625	-77.092003
183.032227	-65.186134
193.798828	-67.924019
204.565430	-67.633820
215.332031	-62.956055
226.098633	-59.928123
236.865234	-60.158501
247.631836	-61.301292
258.398438	-55.852032
269.165039	-54.721382
279.931641	-58.044262
290.698242	-68.562836
301.464844	-72.023270
312.231445	-64.885735
322.998047	-61.610542
333.764648	-56.475716
344.531250	-56.709087
355.297852	-59.824825
366.064453	-61.976227
376.831055	-65.610313
387.597656	-80.922859
398.364258	-56.952259
409.130859	-52.038223
419.897461	-50.814781
430.664063	-50.514042
441.430664	-50.746796
452.197266	-59.111088
462.963867	-61.291420
473.730469	-58.089920
484.497070	-57.290714
495.263672	-51.142010
506.030273	-47.119122
516.796875	-48.540333
527.563477	-47.282955
538.330078	-47.597965
549.096680	-47.066189
559.863281	-43.407597
570.629883	-42.923000
581.396484	-43.041199
592.163086	-42.209328
602.929688	-43.659737
613.696289	-48.048298
624.462891	-44.666512
635.229492	-51.846745
645.996094	-62.806599
656.762695	-52.499580
667.529297	-44.194653
678.295898	-44.757618
689.062500	-43.753960
699.829102	-45.282490
710.595703	-55.969742
721.362305	-45.117813
732.128906	-42.775097
742.895508	-41.675407
753.662109	-42.387775
764.428711	-48.523621
775.195313	-67.542221
785.961914	-45.500584
796.728516	-40.655117
807.495117	-40.783939
818.261719	-54.523129
829.028320	-38.918926
839.794922	-38.228592
850.561523	-51.216019
861.328125	-40.793556
872.094727	-38.495506
882.861328	-40.065125
893.627930	-42.123817
904.394531	-39.486591
915.161133	-35.726555
925.927734	-34.388344
936.694336	-33.894928
947.460938	-38.114441
958.227539	-52.283459
968.994141	-49.943298
979.760742	-36.910042
990.527344	-31.164675
1001.293945	-33.056953
1012.060547	-45.474892
1022.827148	-36.602184
1033.593750	-35.497501
1044.360352	-37.467899
1055.126953	-42.644867
1065.893555	-40.539875
1076.660156	-38.367233
1087.426758	-56.676777
1098.193359	-33.582359
1108.959961	-32.996494
1119.726563	-38.929356
1130.493164	-41.838223
1141.259766	-44.052639
1152.026367	-38.216976
1162.792969	-40.247776
1173.559570	-35.463211
1184.326172	-29.579924
1195.092773	-28.791655
1205.859375	-31.355730
1216.625977	-36.801849
1227.392578	-35.959480
1238.159180	-31.036295
1248.925781	-32.618961
1259.692383	-41.683922
1270.458984	-46.276711
1281.225586	-43.896542
1291.992188	-44.189751
1302.758789	-43.364216
1313.525391	-38.632942
1324.291992	-32.518852
1335.058594	-32.882206
1345.825195	-40.870628
1356.591797	-36.502960
1367.358398	-32.498219
1378.125000	-30.400585
1388.891602	-30.227514
1399.658203	-31.579142
1410.424805	-34.045387
1421.191406	-39.005959
1431.958008	-34.922482
1442.724609	-36.599545
1453.491211	-48.683376
1464.257813	-32.759647
1475.024414	-28.617683
1485.791016	-28.080547
1496.557617	-33.882870
1507.324219	-50.214184
1518.090820	-53.470245
1528.857422	-54.925526
1539.624023	-37.619717
1550.390625	-35.328865
1561.157227	-37.352058
1571.923828	-38.896343
1582.690430	-36.401054
1593.457031	-35.816677
1604.223633	-43.825817
1614.990234	-40.276810
1625.756836	-46.572536
1636.523438	-40.864647
1647.290039	-48.222366
1658.056641	-46.584267
1668.823242	-54.656250
1679.589844	-44.244705
1690.356445	-40.056602
1701.123047	-45.744118
1711.889648	-40.563404
1722.656250	-37.751839
1733.422852	-50.637890
1744.189453	-38.179539
1754.956055	-38.080830
1765.722656	-35.519413
1776.489258	-36.184498
1787.255859	-36.293900
1798.022461	-40.378361
1808.789063	-37.220913
1819.555664	-32.567818
1830.322266	-45.274258
1841.088867	-41.957794
1851.855469	-43.866375
1862.622070	-56.723965
1873.388672	-51.039642
1884.155273	-50.477985
1894.921875	-37.848373
1905.688477	-37.437325
1916.455078	-43.174572
1927.221680	-42.228783
1937.988281	-37.572052
1948.754883	-39.956123
1959.521484	-36.569180
1970.288086	-33.759338
1981.054688	-32.555676
1991.821289	-34.246948
2002.587891	-37.180592
2013.354492	-37.257366
2024.121094	-39.690311
2034.887695	-50.151348
2045.654297	-37.658333
2056.420898	-32.329239
2067.187500	-38.067062
2077.954102	-38.557159
2088.720703	-36.517277
2099.487305	-34.404919
2110.253906	-31.275259
2121.020508	-32.204151
2131.787109	-36.328384
2142.553711	-45.904072
2153.320313	-46.669689
2164.086914	-44.442936
2174.853516	-39.420925
2185.620117	-32.578945
2196.386719	-29.838936
2207.153320	-31.890310
2217.919922	-32.412785
2228.686523	-39.079586
2239.453125	-37.163113
2250.219727	-37.863998
2260.986328	-39.757862
2271.752930	-38.173912
2282.519531	-32.003845
2293.286133	-34.766899
2304.052734	-38.835983
2314.819336	-40.913151
2325.585938	-34.042435
2336.352539	-35.691486
2347.119141	-42.545193
2357.885742	-44.015266
2368.652344	-53.605309
2379.418945	-38.482769
2390.185547	-36.451466
2400.952148	-36.982361
2411.718750	-47.269848
2422.485352	-35.813889
2433.251953	-35.076248
2444.018555	-34.139191
2454.785156	-34.723797
2465.551758	-37.559586
2476.318359	-40.228043
2487.084961	-37.620399
2497.851563	-33.276714
2508.618164	-34.688141
2519.384766	-35.033447
2530.151367	-38.849606
2540.917969	-38.270367
2551.684570	-33.750122
2562.451172	-39.457268
2573.217773	-39.751575
2583.984375	-38.935848
2594.750977	-42.474541
2605.517578	-39.610069
2616.284180	-42.346722
2627.050781	-44.204384
2637.817383	-41.859566
2648.583984	-38.786896
2659.350586	-33.244614
2670.117188	-36.628220
2680.883789	-42.758675
2691.650391	-44.630299
2702.416992	-36.687527
2713.183594	-34.058353
2723.950195	-34.539635
2734.716797	-37.767376
2745.483398	-37.703133
2756.250000	-34.725426
2767.016602	-32.379322
2777.783203	-35.546261
2788.549805	-37.894806
2799.316406	-36.365009
2810.083008	-40.004459
2820.849609	-45.248089
2831.616211	-38.640049
