Frequency (Hz)	Level (dB)
10.766602	-79.947029
21.533203	-73.950241
32.299805	-70.761543
43.066406	-75.814171
53.833008	-71.907555
64.599609	-63.250462
75.366211	-62.337570
86.132813	-63.145199
96.899414	-70.623329
107.666016	-71.294418
118.432617	-68.834221
129.199219	-63.666058
139.965820	-60.585636
150.732422	-78.421913
161.499023	-66.983849
172.265625	-74.162437
183.032227	-64.610878
193.798828	-66.932457
204.565430	-67.552399
215.332031	-63.629040
226.098633	-60.443489
236.865234	-58.568695
247.631836	-60.021400
258.398438	-55.621437
269.165039	-54.856014
279.931641	-58.606037
290.698242	-64.665169
301.464844	-70.451500
312.231445	-63.516972
322.998047	-62.656082
333.764648	-57.237148
344.531250	-57.697968
355.297852	-60.996452
366.064453	-62.728733
376.831055	-66.019890
387.597656	-83.363396
398.364258	-58.059788
409.130859	-53.095413
419.897461	-52.137833
430.664063	-52.005558
441.430664	-50.973183
452.197266	-60.048660
462.963867	-58.234821
473.730469	-57.161957
484.497070	-56.113838
495.263672	-52.110851
506.030273	-47.599670
516.796875	-50.337311
527.563477	-47.937599
538.330078	-47.991272
549.096680	-48.231842
559.863281	-44.357548
570.629883	-44.096195
581.396484	-44.573338
592.163086	-43.387611
602.929688	-44.064739
613.696289	-50.110790
624.462891	-44.323334
635.229492	-52.990265
645.996094	-55.234501
656.762695	-54.597038
667.529297	-44.136372
678.295898	-45.332817
689.062500	-44.186775
699.829102	-44.990002
710.595703	-54.840706
721.362305	-45.206589
732.128906	-43.285297
742.895508	-42.158592
753.662109	-42.640694
764.428711	-50.442951
775.195313	-59.535450
785.961914	-44.686596
796.728516	-40.132431
807.495117	-40.080795
818.261719	-65.918465
829.028320	-38.995373
839.794922	-38.427139
850.561523	-52.097351
861.328125	-40.622395
872.094727	-39.211636
882.861328	-41.519527
893.627930	-42.521889
904.394531	-39.568096
915.161133	-36.368961
925.927734	-35.491753
936.694336	-34.558022
947.460938	-38.756966
958.227539	-47.642654
968.994141	-45.647427
979.760742	-37.797726
990.527344	-31.451200
1001.293945	-33.426060
1012.060547	-46.481121
1022.827148	-36.967419
1033.593750	-36.559410
1044.360352	-38.018276
1055.126953	-46.293365
1065.893555	-42.361107
1076.660156	-37.654934
1087.426758	-49.762630
1098.193359	-33.402805
1108.959961	-33.102612
1119.726563	-40.290676
1130.493164	-43.243378
1141.259766	-47.996765
1152.026367	-38.254498
1162.792969	-39.730106
1173.559570	-36.224007
1184.326172	-30.098175
1195.092773	-29.542431
1205.859375	-32.459339
1216.625977	-40.210117
1227.392578	-39.088303
1238.159180	-31.420572
1248.925781	-32.991394
1259.692383	-43.222256
1270.458984	-47.065460
1281.225586	-42.826622
1291.992188	-46.464615
1302.758789	-41.189034
1313.525391	-39.550179
1324.291992	-33.059341
1335.058594	-33.326012
1345.825195	-41.978802
1356.591797	-36.701340
1367.358398	-34.132404
1378.125000	-31.563074
1388.891602	-31.258333
1399.658203	-32.844910
1410.424805	-34.840500
1421.191406	-42.001995
1431.958008	-35.154079
1442.724609	-36.457722
1453.491211	-52.765079
1464.257813	-33.516441
1475.024414	-29.545414
1485.791016	-28.543098
1496.557617	-35.872849
1507.324219	-56.442249
1518.090820	-50.596794
1528.857422	-56.720577
1539.624023	-38.018906
1550.390625	-35.681767
1561.157227	-38.456753
1571.923828	-40.189274
1582.690430	-36.999565
1593.457031	-35.223846
1604.223633	-44.312160
1614.990234	-39.602295
1625.756836	-47.706928
1636.523438	-40.154171
1647.290039	-49.642036
1658.056641	-44.739166
1668.823242	-52.931660
1679.589844	-44.318344
1690.356445	-39.781322
1701.123047	-46.967815
1711.889648	-41.611580
1722.656250	-36.545391
1733.422852	-49.223148
1744.189453	-36.958607
1754.956055	-38.850788
1765.722656	-36.083096
1776.489258	-36.751926
1787.255859	-36.761417
1798.022461	-38.046993
1808.789063	-37.085522
1819.555664	-31.988585
1830.322266	-51.141872
1841.088867	-40.431286
1851.855469	-43.543377
1862.622070	-52.171585
1873.388672	-47.285774
1884.155273	-56.012470
1894.921875	-38.042847
1905.688477	-37.830620
1916.455078	-46.695885
1927.221680	-45.604015
1937.988281	-37.025928
1948.754883	-39.963108
1959.521484	-36.954517
