Frequency (Hz)	Level (dB)
10.766602	-60.454834
21.533203	-65.203140
32.299805	-62.567139
43.066406	-61.609253
53.833008	-58.160000
64.599609	-58.244476
75.366211	-61.909840
86.132813	-74.494301
96.899414	-61.067204
107.666016	-55.178627
118.432617	-57.942574
129.199219	-68.292465
139.965820	-67.562828
150.732422	-59.763817
161.499023	-55.357460
172.265625	-55.830482
183.032227	-53.606792
193.798828	-53.996212
204.565430	-57.889492
215.332031	-56.700546
226.098633	-61.201279
236.865234	-53.274460
247.631836	-43.210865
258.398438	-42.764030
269.165039	-47.056927
279.931641	-47.439629
290.698242	-57.685772
301.464844	-49.143799
312.231445	-62.228794
322.998047	-60.747993
333.764648	-57.092022
344.531250	-52.879856
355.297852	-42.583679
366.064453	-40.685574
376.831055	-45.826275
387.597656	-52.558441
398.364258	-55.060215
409.130859	-68.916481
419.897461	-54.394852
430.664063	-54.578102
441.430664	-57.191269
452.197266	-62.042210
462.963867	-59.373096
473.730469	-70.379883
484.497070	-68.487305
495.263672	-59.732193
506.030273	-59.643810
516.796875	-56.626751
527.563477	-56.905724
538.330078	-52.091019
549.096680	-54.824570
559.863281	-58.251625
570.629883	-53.290085
581.396484	-51.389160
592.163086	-58.124847
602.929688	-60.657486
613.696289	-65.180809
624.462891	-55.565548
635.229492	-52.563171
645.996094	-43.307926
656.762695	-39.697014
667.529297	-36.291157
678.295898	-33.692997
689.062500	-13.771752
699.829102	-9.177929
710.595703	-16.896072
721.362305	-33.203960
732.128906	-41.622826
742.895508	-42.411198
753.662109	-48.756947
764.428711	-50.107632
775.195313	-54.157291
785.961914	-53.837402
796.728516	-53.677258
807.495117	-60.150288
818.261719	-59.836765
829.028320	-58.983009
839.794922	-71.384827
850.561523	-66.490898
861.328125	-60.909767
872.094727	-56.297539
882.861328	-57.498459
893.627930	-57.495991
904.394531	-70.265800
915.161133	-63.391064
925.927734	-60.081009
936.694336	-69.310867
947.460938	-63.303230
958.227539	-61.857571
968.994141	-68.695656
979.760742	-69.825996
990.527344	-62.618393
1001.293945	-68.097427
1012.060547	-63.256409
1022.827148	-74.763382
1033.593750	-59.558086
1044.360352	-61.510887
1055.126953	-65.440697
1065.893555	-54.780518
1076.660156	-53.475628
1087.426758	-54.946194
1098.193359	-53.907406
1108.959961	-53.364681
1119.726563	-55.640331
1130.493164	-54.581387
1141.259766	-64.477646
1152.026367	-60.457272
1162.792969	-73.189796
1173.559570	-55.428905
1184.326172	-55.334663
1195.092773	-62.332161
1205.859375	-56.105507
1216.625977	-58.103680
1227.392578	-62.312588
1238.159180	-60.616486
1248.925781	-64.869354
1259.692383	-54.420567
1270.458984	-56.113617
1281.225586	-55.880013
1291.992188	-51.545052
1302.758789	-53.054920
1313.525391	-53.008644
1324.291992	-51.830658
1335.058594	-59.580296
1345.825195	-52.446327
1356.591797	-45.514774
1367.358398	-46.212868
1378.125000	-32.947582
1388.891602	-17.443451
1399.658203	-15.777211
1410.424805	-25.971615
1421.191406	-50.021397
1431.958008	-46.585655
1442.724609	-51.390636
1453.491211	-49.949181
1464.257813	-52.904007
1475.024414	-47.136223
1485.791016	-46.872952
1496.557617	-57.673004
1507.324219	-63.526493
1518.090820	-52.948742
1528.857422	-50.998665
1539.624023	-56.869781
1550.390625	-64.142296
1561.157227	-60.137527
1571.923828	-63.266731
