Frequency (Hz)	Level (dB)
10.766602	-131.623047
21.533203	-135.432556
32.299805	-156.713333
43.066406	-136.601517
53.833008	-136.559738
64.599609	-135.607239
75.366211	-131.269363
86.132813	-135.449310
96.899414	-143.137131
107.666016	-132.256134
118.432617	-130.316940
129.199219	-133.977295
139.965820	-136.502029
150.732422	-139.927780
161.499023	-139.681946
172.265625	-135.765717
183.032227	-135.166367
193.798828	-139.747620
204.565430	-147.730789
215.332031	-127.114944
226.098633	-136.602890
236.865234	-131.931641
247.631836	-134.296356
258.398438	-133.736069
269.165039	-133.938431
279.931641	-132.684921
290.698242	-131.465195
301.464844	-145.300903
312.231445	-126.411636
322.998047	-137.332108
333.764648	-134.535599
344.531250	-130.904602
355.297852	-128.332275
366.064453	-136.002701
376.831055	-127.921906
387.597656	-127.794830
398.364258	-139.445450
409.130859	-125.933952
419.897461	-129.764938
430.664063	-127.014160
441.430664	-128.300766
452.197266	-126.919243
462.963867	-129.936813
473.730469	-125.805618
484.497070	-124.137955
495.263672	-126.886314
506.030273	-124.728325
516.796875	-121.982185
527.563477	-125.399681
538.330078	-124.644318
549.096680	-120.927643
559.863281	-123.537750
570.629883	-120.549469
581.396484	-122.239067
592.163086	-118.696594
602.929688	-121.711723
613.696289	-116.632843
624.462891	-119.793144
635.229492	-116.863182
645.996094	-116.313347
656.762695	-115.565628
667.529297	-115.611328
678.295898	-113.929199
689.062500	-112.723717
699.829102	-112.972275
710.595703	-111.231865
721.362305	-110.202744
732.128906	-109.447952
742.895508	-108.326942
753.662109	-107.211967
764.428711	-106.224182
775.195313	-104.819466
785.961914	-103.656563
796.728516	-102.291847
807.495117	-101.061050
818.261719	-99.322456
829.028320	-97.965279
839.794922	-96.291161
850.561523	-94.452866
861.328125	-92.579430
872.094727	-90.559700
882.861328	-88.304665
893.627930	-85.906013
904.394531	-83.267082
915.161133	-80.308159
925.927734	-77.066071
936.694336	-73.438766
947.460938	-69.538643
958.227539	-66.357689
968.994141	-64.634743
979.760742	-17.622578
990.527344	-3.459696
1001.293945	-0.062990
1012.060547	-5.702031
1022.827148	-23.554041
1033.593750	-77.904282
1044.360352	-67.000603
1055.126953	-70.658447
1065.893555	-74.548141
