Frequency (Hz)	Level (dB)
10.766602	-75.788521
21.533203	-75.773483
32.299805	-75.754257
43.066406	-75.737175
53.833008	-75.710335
64.599609	-75.664505
75.366211	-75.634056
86.132813	-75.589455
96.899414	-75.527466
107.666016	-75.471359
118.432617	-75.415298
129.199219	-75.337708
139.965820	-75.265427
150.732422	-75.179054
161.499023	-75.092964
172.265625	-75.002808
183.032227	-74.911125
193.798828	-74.804657
204.565430	-74.694138
215.332031	-74.599815
226.098633	-74.461510
236.865234	-74.348000
247.631836	-74.227402
258.398438	-74.096512
269.165039	-73.952713
279.931641	-73.825035
290.698242	-73.683449
301.464844	-73.526558
312.231445	-73.390694
322.998047	-73.224754
333.764648	-73.066116
344.531250	-72.909355
355.297852	-72.745796
366.064453	-72.560310
376.831055	-72.401863
387.597656	-72.225525
398.364258	-72.032600
409.130859	-71.856110
419.897461	-71.665009
430.664063	-71.473793
441.430664	-71.275108
452.197266	-71.077324
462.963867	-70.868423
473.730469	-70.665276
484.497070	-70.454300
495.263672	-70.232964
506.030273	-70.012077
516.796875	-69.795593
527.563477	-69.557533
538.330078	-69.322617
549.096680	-69.090874
559.863281	-68.839836
570.629883	-68.593788
581.396484	-68.334648
592.163086	-68.080505
602.929688	-67.806168
613.696289	-67.543121
624.462891	-67.255409
635.229492	-66.973007
645.996094	-66.680481
656.762695	-66.378426
667.529297	-66.066231
678.295898	-65.750946
689.062500	-65.425140
699.829102	-65.083519
710.595703	-64.738541
721.362305	-64.381470
732.128906	-64.008972
742.895508	-63.625256
753.662109	-63.227474
764.428711	-62.813396
775.195313	-62.384800
785.961914	-61.936508
796.728516	-61.469322
807.495117	-60.978470
818.261719	-60.468399
829.028320	-59.926945
839.794922	-59.358498
850.561523	-58.758858
861.328125	-58.121998
872.094727	-57.444695
882.861328	-56.724354
893.627930	-55.954266
904.394531	-55.132446
915.161133	-54.261703
925.927734	-53.350788
936.694336	-52.448261
947.460938	-51.710011
958.227539	-51.786118
968.994141	-58.478859
979.760742	-38.495106
990.527344	-5.634455
1001.293945	-0.099050
1012.060547	-9.504543
1022.827148	-45.702305
1033.593750	-54.050598
1044.360352	-51.147957
1055.126953	-51.414780
1065.893555	-52.195953
1076.660156	-53.070393
1087.426758	-53.926403
1098.193359	-54.739765
1108.959961	-55.494934
1119.726563	-56.200348
1130.493164	-56.856705
1141.259766	-57.468651
1152.026367	-58.039677
1162.792969	-58.577675
1173.559570	-59.083511
1184.326172	-59.557423
1195.092773	-60.007885
1205.859375	-60.436676
1216.625977	-60.840004
1227.392578	-61.226883
1238.159180	-61.596783
1248.925781	-61.946331
1259.692383	-62.283791
1270.458984	-62.607925
1281.225586	-62.916164
1291.992188	-63.215206
1302.758789	-63.505093
1313.525391	-63.778603
1324.291992	-64.047226
1335.058594	-64.307274
1345.825195	-64.556610
1356.591797	-64.794891
1367.358398	-65.031090
1378.125000	-65.260674
1388.891602	-65.476242
1399.658203	-65.697090
1410.424805	-65.899620
1421.191406	-66.104675
1431.958008	-66.301079
1442.724609	-66.497505
1453.491211	-66.677010
1464.257813	-66.866524
1475.024414	-67.044334
1485.791016	-67.213089
1496.557617	-67.386696
1507.324219	-67.555008
1518.090820	-67.713242
1528.857422	-67.872017
1539.624023	-68.031837
1550.390625	-68.179993
1561.157227	-68.331894
1571.923828	-68.478363
