Frequency (Hz)	Level (dB)
10.766602	-66.405479
21.533203	-64.703964
32.299805	-62.749702
43.066406	-72.129272
53.833008	-71.280495
64.599609	-90.432411
75.366211	-88.478676
86.132813	-80.110725
96.899414	-81.914597
107.666016	-75.558365
118.432617	-69.464317
129.199219	-67.468964
139.965820	-66.230507
150.732422	-66.063583
161.499023	-66.405777
172.265625	-73.454697
183.032227	-78.338097
193.798828	-75.649971
204.565430	-73.949440
215.332031	-70.723122
226.098633	-71.025642
236.865234	-70.615852
247.631836	-72.731789
258.398438	-66.847939
269.165039	-64.972496
279.931641	-66.702606
290.698242	-66.288193
301.464844	-64.486198
312.231445	-66.060654
322.998047	-68.411118
333.764648	-71.920967
344.531250	-81.339462
355.297852	-73.367813
366.064453	-66.653175
376.831055	-64.602882
387.597656	-67.904175
398.364258	-69.771004
409.130859	-72.593643
419.897461	-64.484451
430.664063	-62.185692
441.430664	-66.645348
452.197266	-68.426788
462.963867	-68.370491
473.730469	-58.453522
484.497070	-57.168503
495.263672	-54.797405
506.030273	-51.801739
516.796875	-54.756905
527.563477	-56.576599
538.330078	-47.081543
549.096680	-40.372395
559.863281	-34.997932
570.629883	-29.233187
581.396484	-26.699278
592.163086	-31.861509
602.929688	-38.541592
613.696289	-32.407318
624.462891	-21.638910
635.229492	-15.679303
645.996094	-18.563852
656.762695	-30.747511
667.529297	-43.076160
678.295898	-54.426041
689.062500	-51.113312
699.829102	-59.513767
710.595703	-61.178619
721.362305	-54.770596
732.128906	-58.446941
742.895508	-63.562992
753.662109	-73.236282
764.428711	-63.095097
775.195313	-59.865395
785.961914	-57.971001
796.728516	-58.939964
807.495117	-56.813980
818.261719	-57.544796
829.028320	-59.653023
839.794922	-62.728107
850.561523	-79.048141
861.328125	-70.911453
872.094727	-65.126511
882.861328	-64.515457
893.627930	-72.552368
904.394531	-66.554642
915.161133	-64.773178
925.927734	-66.502823
936.694336	-78.528679
947.460938	-81.373024
958.227539	-78.684761
968.994141	-66.674362
979.760742	-62.215618
990.527344	-63.377411
1001.293945	-64.435463
1012.060547	-64.380760
1022.827148	-74.146210
1033.593750	-69.179565
1044.360352	-68.383965
1055.126953	-69.421936
1065.893555	-65.375252
1076.660156	-63.674267
1087.426758	-68.935318
1098.193359	-69.546364
1108.959961	-61.599342
1119.726563	-61.178982
1130.493164	-60.531231
1141.259766	-61.953938
1152.026367	-75.636826
1162.792969	-63.540913
1173.559570	-70.931709
1184.326172	-76.007797
1195.092773	-61.117664
1205.859375	-53.706654
1216.625977	-53.375282
1227.392578	-56.855026
1238.159180	-56.383045
1248.925781	-53.624493
1259.692383	-54.649837
1270.458984	-51.782341
1281.225586	-51.535206
1291.992188	-55.061607
1302.758789	-50.978443
1313.525391	-41.376656
1324.291992	-34.624084
1335.058594	-34.825676
1345.825195	-43.442356
1356.591797	-61.924374
1367.358398	-58.152836
1378.125000	-62.425182
1388.891602	-63.084965
1399.658203	-58.121265
1410.424805	-58.318783
1421.191406	-56.552891
1431.958008	-56.348442
1442.724609	-61.278561
1453.491211	-59.320122
1464.257813	-58.072044
1475.024414	-56.728683
1485.791016	-54.515549
1496.557617	-59.905228
1507.324219	-56.671856
1518.090820	-56.600796
1528.857422	-44.773788
1539.624023	-44.657654
1550.390625	-53.273994
1561.157227	-55.685341
1571.923828	-62.761940
1582.690430	-55.824440
1593.457031	-56.180809
1604.223633	-61.279903
1614.990234	-62.280121
1625.756836	-64.134338
1636.523438	-70.609100
1647.290039	-63.850819
1658.056641	-62.630890
1668.823242	-68.573586
1679.589844	-66.688988
1690.356445	-60.128071
1701.123047	-63.673214
1711.889648	-74.074600
1722.656250	-62.386330
1733.422852	-59.271641
1744.189453	-59.451332
1754.956055	-63.767490
1765.722656	-66.939484
1776.489258	-63.292118
1787.255859	-58.435326
1798.022461	-55.766644
1808.789063	-62.293888
1819.555664	-51.290672
1830.322266	-40.597389
1841.088867	-37.622978
1851.855469	-40.539143
1862.622070	-48.201202
1873.388672	-58.349323
1884.155273	-65.566628
1894.921875	-60.633640
