Frequency (Hz)	Level (dB)
10.766602	-67.150566
21.533203	-66.553268
32.299805	-61.044262
43.066406	-65.902809
53.833008	-67.831375
64.599609	-74.174446
75.366211	-75.255692
86.132813	-70.828583
96.899414	-68.790703
107.666016	-66.518272
118.432617	-63.364227
129.199219	-62.466877
139.965820	-63.052052
150.732422	-65.644905
161.499023	-67.048805
172.265625	-73.121147
183.032227	-74.406967
193.798828	-75.898056
204.565430	-75.294708
215.332031	-69.044983
226.098633	-67.744553
236.865234	-66.709763
247.631836	-67.674644
258.398438	-65.021126
269.165039	-63.971733
279.931641	-65.429779
290.698242	-65.357491
301.464844	-63.642105
312.231445	-63.676113
322.998047	-64.200745
333.764648	-66.921616
344.531250	-72.959381
355.297852	-68.470451
366.064453	-63.337387
376.831055	-62.914822
387.597656	-78.796242
398.364258	-67.435745
409.130859	-66.778160
419.897461	-64.124596
430.664063	-64.727066
441.430664	-63.405472
452.197266	-61.925396
462.963867	-63.411182
473.730469	-58.881618
484.497070	-55.593067
495.263672	-52.147408
506.030273	-49.282276
516.796875	-57.657173
527.563477	-59.853577
538.330078	-46.640987
549.096680	-39.988762
559.863281	-39.134731
570.629883	-30.736906
581.396484	-25.542027
592.163086	-31.626757
602.929688	-35.750999
613.696289	-31.685843
624.462891	-26.389538
635.229492	-15.284373
645.996094	-19.102888
656.762695	-31.336111
667.529297	-45.940655
678.295898	-46.395714
689.062500	-45.696316
699.829102	-53.862087
710.595703	-53.156910
721.362305	-47.301834
732.128906	-49.904453
742.895508	-52.783516
753.662109	-57.889740
764.428711	-57.444454
775.195313	-64.800369
785.961914	-53.067715
796.728516	-53.334122
807.495117	-55.754677
818.261719	-62.949986
829.028320	-57.110638
839.794922	-59.496403
850.561523	-67.071259
861.328125	-65.281860
872.094727	-61.029358
882.861328	-60.779415
893.627930	-69.357597
904.394531	-62.444550
915.161133	-60.943199
925.927734	-64.324905
936.694336	-76.625114
947.460938	-73.845947
958.227539	-75.030815
968.994141	-69.531769
979.760742	-61.625965
990.527344	-60.651016
1001.293945	-63.275173
1012.060547	-68.413673
1022.827148	-67.481422
1033.593750	-64.372200
1044.360352	-64.477814
1055.126953	-66.006851
1065.893555	-62.217388
1076.660156	-63.864624
1087.426758	-68.250847
1098.193359	-68.980675
1108.959961	-59.193172
1119.726563	-61.908993
1130.493164	-64.673759
1141.259766	-57.891960
1152.026367	-60.168953
1162.792969	-57.180588
1173.559570	-62.384212
1184.326172	-62.387482
1195.092773	-59.738754
1205.859375	-52.317474
1216.625977	-53.136253
1227.392578	-59.011803
1238.159180	-59.690464
1248.925781	-53.277885
1259.692383	-61.854641
1270.458984	-51.869820
1281.225586	-49.221516
1291.992188	-53.624123
1302.758789	-61.250244
1313.525391	-43.594162
1324.291992	-34.899303
1335.058594	-35.312557
1345.825195	-48.592583
1356.591797	-58.298145
1367.358398	-61.065151
1378.125000	-62.175022
1388.891602	-61.448521
1399.658203	-58.435150
1410.424805	-58.765827
1421.191406	-56.667625
1431.958008	-57.108334
1442.724609	-60.148201
1453.491211	-56.766407
1464.257813	-56.855175
1475.024414	-63.065178
1485.791016	-53.992207
1496.557617	-56.552254
1507.324219	-53.013550
1518.090820	-54.382465
1528.857422	-44.952248
1539.624023	-45.487404
1550.390625	-52.772068
1561.157227	-53.203339
1571.923828	-64.947327
1582.690430	-57.551006
1593.457031	-55.840698
1604.223633	-70.286194
1614.990234	-61.463486
1625.756836	-60.235420
1636.523438	-69.228363
1647.290039	-60.168201
1658.056641	-61.017780
1668.823242	-72.399078
1679.589844	-70.457458
1690.356445	-58.517593
1701.123047	-61.312138
1711.889648	-66.083153
1722.656250	-65.075531
1733.422852	-60.703133
1744.189453	-59.179222
1754.956055	-68.112213
1765.722656	-67.031372
1776.489258	-59.809364
1787.255859	-55.471359
1798.022461	-54.182919
1808.789063	-66.040421
1819.555664	-58.775917
1830.322266	-42.030308
1841.088867	-37.283379
1851.855469	-40.875000
1862.622070	-52.702118
1873.388672	-59.017948
1884.155273	-60.163242
1894.921875	-59.953976
1905.688477	-61.591179
1916.455078	-62.308617
1927.221680	-63.524715
1937.988281	-60.070728
1948.754883	-70.720474
1959.521484	-58.997917
1970.288086	-63.152012
1981.054688	-74.209648
1991.821289	-72.240112
2002.587891	-65.626747
2013.354492	-64.304955
2024.121094	-63.983372
2034.887695	-58.990921
2045.654297	-61.915394
2056.420898	-68.339699
2067.187500	-66.361633
2077.954102	-76.973442
2088.720703	-70.944862
2099.487305	-75.524506
2110.253906	-67.520943
2121.020508	-68.841736
2131.787109	-69.345161
2142.553711	-85.425323
2153.320313	-63.287441
2164.086914	-65.525154
2174.853516	-76.386894
