Frequency (Hz)	Level (dB)
10.766602	-59.702908
21.533203	-62.370815
32.299805	-61.328735
43.066406	-59.651894
53.833008	-57.132500
64.599609	-57.279186
75.366211	-60.882973
86.132813	-70.823822
96.899414	-59.673286
107.666016	-54.821224
118.432617	-57.600060
129.199219	-69.353828
139.965820	-72.948769
150.732422	-60.006077
161.499023	-55.859905
172.265625	-55.828686
183.032227	-53.339592
193.798828	-53.213135
204.565430	-55.447277
215.332031	-56.068718
226.098633	-57.481277
236.865234	-50.741688
247.631836	-43.585072
258.398438	-44.032631
269.165039	-49.843590
279.931641	-49.080566
290.698242	-56.891949
301.464844	-50.038570
312.231445	-57.957382
322.998047	-61.282078
333.764648	-61.124714
344.531250	-55.061646
355.297852	-43.119816
366.064453	-41.284260
376.831055	-46.247494
387.597656	-53.711803
398.364258	-55.460495
409.130859	-62.729465
419.897461	-54.707699
430.664063	-54.466267
441.430664	-57.004417
452.197266	-61.820580
462.963867	-60.440365
473.730469	-69.327881
484.497070	-66.990135
495.263672	-60.177155
506.030273	-60.139118
516.796875	-57.649349
527.563477	-55.723560
538.330078	-51.862301
549.096680	-53.658169
559.863281	-55.468033
570.629883	-52.284275
581.396484	-51.169071
592.163086	-56.708031
602.929688	-60.986538
613.696289	-62.639774
624.462891	-57.335369
635.229492	-64.226837
645.996094	-45.186234
656.762695	-43.267448
667.529297	-36.502674
678.295898	-25.562149
689.062500	-12.615494
699.829102	-9.199828
710.595703	-14.986369
721.362305	-33.243397
732.128906	-38.274761
742.895508	-41.643879
753.662109	-47.161827
764.428711	-50.869877
775.195313	-52.316036
785.961914	-52.687748
796.728516	-53.466400
807.495117	-59.279549
818.261719	-59.269485
829.028320	-59.062958
839.794922	-65.852455
850.561523	-68.066536
861.328125	-63.993305
872.094727	-58.611839
882.861328	-60.319405
893.627930	-59.705700
904.394531	-69.543983
915.161133	-63.465916
925.927734	-60.594933
936.694336	-66.983955
947.460938	-62.451305
958.227539	-61.633736
968.994141	-68.328064
979.760742	-69.828995
990.527344	-62.832188
1001.293945	-66.784782
1012.060547	-64.663795
1022.827148	-68.578239
1033.593750	-61.253685
1044.360352	-62.790359
1055.126953	-64.342865
1065.893555	-54.699162
1076.660156	-52.478703
1087.426758	-53.823906
1098.193359	-54.948532
1108.959961	-55.565319
1119.726563	-58.027794
1130.493164	-56.472748
1141.259766	-66.310295
1152.026367	-62.252029
1162.792969	-67.077690
1173.559570	-55.434830
1184.326172	-54.884983
1195.092773	-58.359871
1205.859375	-56.095440
1216.625977	-58.270348
1227.392578	-62.996605
1238.159180	-60.935562
1248.925781	-60.509563
1259.692383	-54.767845
1270.458984	-55.307629
1281.225586	-53.924999
1291.992188	-52.820438
1302.758789	-56.347599
1313.525391	-55.710957
1324.291992	-53.048058
1335.058594	-55.237747
1345.825195	-55.529907
1356.591797	-47.461128
1367.358398	-44.251106
1378.125000	-27.206514
1388.891602	-16.845865
1399.658203	-15.564560
1410.424805	-22.926918
1421.191406	-40.300732
1431.958008	-46.959671
1442.724609	-49.042393
1453.491211	-50.580643
1464.257813	-53.040562
1475.024414	-46.942322
1485.791016	-46.703339
